Time [s], II
3.096,0.40039
3.104,0.37109
3.112,0.33984
3.12,0.30078
3.128,0.31055
3.136,0.29492
3.144,0.24609
3.152,0.20508
3.16,0.18555
3.168,0.17969
3.176,0.16992
3.184,0.16602
3.192,0.16992
3.2,0.16992
3.208,0.17578
3.216,0.16992
3.224,0.17969
3.232,0.17969
3.24,0.20117
3.248,0.2793
3.256,0.41992
3.264,0.49414
3.272,0.53516
3.28,0.22461
3.288,0.050781
3.296,0.13477
3.304,0.16016
3.312,0.18555
3.32,0.19531
3.328,0.20117
3.336,0.20508
3.344,0.21094
3.352,0.21484
3.36,0.2207
3.368,0.23047
3.376,0.23047
3.384,0.23438
3.392,0.24023
3.4,0.24609
3.408,0.25586
3.416,0.25977
3.424,0.26562
3.432,0.26562
3.44,0.27539
3.448,0.27539
3.456,0.28516
3.464,0.29102
3.472,0.29492
3.48,0.28516
3.488,0.27539
3.496,0.25977
3.504,0.24023
3.512,0.22461
3.52,0.20508
3.528,0.17969
3.536,0.17578
3.544,0.17578
3.552,0.17969
3.56,0.18945
3.568,0.20508
3.576,0.21484
3.584,0.2207
3.592,0.22461
3.6,0.23047
3.608,0.23047
3.616,0.22461
3.624,0.22461
3.632,0.23047
3.64,0.23047
3.648,0.23047
3.656,0.23047
3.664,0.23047
3.672,0.23438
3.68,0.23438
3.688,0.25
3.696,0.28516
3.704,0.30469
3.712,0.31055
3.72,0.33984
3.728,0.375
3.736,0.38477
3.744,0.35938
3.752,0.33594
3.76,0.28516
3.768,0.27539
3.776,0.29492
3.784,0.24609
3.792,0.20117
3.8,0.17969
3.808,0.16992
3.816,0.16016
3.824,0.16016
3.832,0.15625
3.84,0.16016
3.848,0.15625
3.856,0.16016
3.864,0.16602
3.872,0.16992
3.88,0.17578
3.888,0.22461
3.896,0.36523
3.904,0.45508
3.912,0.51953
3.92,0.32422
3.928,0.041016
3.936,0.099609
3.944,0.14453
3.952,0.17578
3.96,0.19531
3.968,0.18945
3.976,0.20508
3.984,0.21094
3.992,0.21484
4,0.2207
4.008,0.22461
4.016,0.2207
4.024,0.2207
4.032,0.22461
4.04,0.24023
4.048,0.24023
4.056,0.25
4.064,0.25
4.072,0.25586
4.08,0.25977
4.088,0.26953
4.096,0.27539
4.104,0.27539
4.112,0.27539
4.12,0.27539
4.128,0.26953
4.136,0.25586
4.144,0.24023
4.152,0.22461
4.16,0.20508
4.168,0.17969
4.176,0.16602
4.184,0.16016
4.192,0.16992
4.2,0.17578
4.208,0.18945
4.216,0.19531
4.224,0.20508
4.232,0.21484
4.24,0.2207
4.248,0.2207
4.256,0.2207
4.264,0.21484
4.272,0.22461
4.28,0.22461
4.288,0.23047
4.296,0.23047
4.304,0.23047
4.312,0.23047
4.32,0.23047
4.328,0.23047
4.336,0.24023
4.344,0.2793
4.352,0.30078
4.36,0.30469
4.368,0.33008
4.376,0.36523
4.384,0.38086
4.392,0.35938
4.4,0.33008
4.408,0.2793
4.416,0.27539
4.424,0.29492
4.432,0.24609
4.44,0.20508
4.448,0.17969
4.456,0.16602
4.464,0.15625
4.472,0.15625
4.48,0.14453
4.488,0.15625
4.496,0.16016
4.504,0.15625
4.512,0.16016
4.52,0.16016
4.528,0.16602
4.536,0.21484
4.544,0.34961
4.552,0.44922
4.56,0.50977
4.568,0.33008
4.576,0.03125
4.584,0.089844
4.592,0.14453
4.6,0.16992
4.608,0.18555
4.616,0.18555
4.624,0.18945
4.632,0.18945
4.64,0.20508
4.648,0.20508
4.656,0.21484
4.664,0.2207
4.672,0.22461
4.68,0.23047
4.688,0.23047
4.696,0.24023
4.704,0.25586
4.712,0.25586
4.72,0.25586
4.728,0.26562
4.736,0.26562
4.744,0.27539
4.752,0.27539
4.76,0.2793
4.768,0.28516
4.776,0.27539
4.784,0.26562
4.792,0.24609
4.8,0.23047
4.808,0.20508
4.816,0.17969
4.824,0.16602
4.832,0.16016
4.84,0.16016
4.848,0.17578
4.856,0.19531
4.864,0.20508
4.872,0.21484
4.88,0.2207
4.888,0.2207
4.896,0.21094
4.904,0.2207
4.912,0.22461
4.92,0.22461
4.928,0.22461
4.936,0.23047
4.944,0.23438
4.952,0.23047
4.96,0.23047
4.968,0.23047
4.976,0.23438
4.984,0.23047
4.992,0.26562
5,0.29102
5.008,0.29492
5.016,0.31445
5.024,0.35547
5.032,0.37109
5.04,0.35938
5.048,0.33984
5.056,0.29492
5.064,0.27539
5.072,0.29492
5.08,0.25977
5.088,0.21484
5.096,0.17969
5.104,0.17969
5.112,0.16602
5.12,0.16992
5.128,0.16602
5.136,0.16602
5.144,0.16016
5.152,0.16016
5.16,0.16016
5.168,0.16992
5.176,0.16602
5.184,0.19531
5.192,0.32031
5.2,0.43945
5.208,0.55078
5.216,0.42969
5.224,0.095703
5.232,0.064453
5.24,0.16992
5.248,0.16016
5.256,0.17969
5.264,0.17969
5.272,0.18555
5.28,0.18555
5.288,0.18945
5.296,0.19531
5.304,0.19531
5.312,0.19531
5.32,0.20508
5.328,0.21484
5.336,0.21484
5.344,0.2207
5.352,0.23047
5.36,0.23438
5.368,0.23438
5.376,0.24023
5.384,0.24609
5.392,0.25
5.4,0.25586
5.408,0.26953
5.416,0.25586
5.424,0.25586
5.432,0.24609
5.44,0.23438
5.448,0.21094
5.456,0.18945
5.464,0.16602
5.472,0.16016
5.48,0.14453
5.488,0.15625
5.496,0.16602
5.504,0.17969
5.512,0.20117
5.52,0.20508
5.528,0.21094
5.536,0.22461
5.544,0.2207
5.552,0.22461
5.56,0.23047
5.568,0.2207
5.576,0.23047
5.584,0.23047
5.592,0.23047
5.6,0.22461
5.608,0.23047
5.616,0.23047
5.624,0.23047
5.632,0.24023
5.64,0.26562
5.648,0.29492
5.656,0.30078
5.664,0.31055
5.672,0.34961
5.68,0.375
5.688,0.38086
5.696,0.34961
5.704,0.30469
5.712,0.29102
5.72,0.30078
5.728,0.26953
5.736,0.23047
5.744,0.18555
5.752,0.17969
5.76,0.17578
5.768,0.16992
5.776,0.16602
5.784,0.16016
5.792,0.15625
5.8,0.15039
5.808,0.16016
5.816,0.16602
5.824,0.16602
5.832,0.18945
5.84,0.31445
5.848,0.44531
5.856,0.58984
5.864,0.50977
5.872,0.15625
5.88,0.10547
5.888,0.19531
5.896,0.16992
5.904,0.18555
5.912,0.17969
5.92,0.18555
5.928,0.17969
5.936,0.17969
5.944,0.18945
5.952,0.18555
5.96,0.19531
5.968,0.20117
5.976,0.20508
5.984,0.21094
5.992,0.21484
6,0.22461
6.008,0.23047
6.016,0.23047
6.024,0.24609
6.032,0.24609
6.04,0.25586
6.048,0.25586
6.056,0.25586
6.064,0.25586
6.072,0.25
6.08,0.23047
6.088,0.2207
6.096,0.18945
6.104,0.17969
6.112,0.15625
6.12,0.13477
6.128,0.13086
6.136,0.13477
6.144,0.15039
6.152,0.16016
6.16,0.17578
6.168,0.18945
6.176,0.21094
6.184,0.21484
6.192,0.2207
6.2,0.2207
6.208,0.22461
6.216,0.2207
6.224,0.23047
6.232,0.23047
6.24,0.23438
6.248,0.23438
6.256,0.24609
6.264,0.24609
6.272,0.24609
6.28,0.24609
6.288,0.25586
6.296,0.28516
6.304,0.31055
6.312,0.31055
6.32,0.33984
6.328,0.375
6.336,0.39062
6.344,0.36523
6.352,0.33984
6.36,0.29492
6.368,0.29102
6.376,0.30469
6.384,0.25977
6.392,0.21484
6.4,0.19531
6.408,0.18555
6.416,0.17969
6.424,0.17578
6.432,0.16602
6.44,0.16602
6.448,0.16602
6.456,0.17578
6.464,0.16602
6.472,0.16992
6.48,0.17578
6.488,0.25586
6.496,0.38477
6.504,0.48047
6.512,0.5293
6.52,0.30078
6.528,0.041016
6.536,0.12109
6.544,0.15625
6.552,0.17578
6.56,0.18945
6.568,0.19531
6.576,0.20508
6.584,0.20508
6.592,0.20508
6.6,0.21484
6.608,0.22461
6.616,0.23047
6.624,0.23047
6.632,0.23047
6.64,0.24023
6.648,0.24609
6.656,0.25586
6.664,0.26562
6.672,0.27539
6.68,0.27539
6.688,0.27539
6.696,0.27539
6.704,0.28516
6.712,0.29102
6.72,0.29102
6.728,0.27539
6.736,0.26953
6.744,0.25586
6.752,0.23438
6.76,0.21484
6.768,0.18555
6.776,0.16992
6.784,0.16992
6.792,0.17578
6.8,0.17969
6.808,0.19531
6.816,0.20508
6.824,0.2207
6.832,0.22461
6.84,0.23047
6.848,0.23047
6.856,0.23047
6.864,0.23047
6.872,0.23438
6.88,0.23047
6.888,0.23438
6.896,0.23438
6.904,0.24023
6.912,0.23438
6.92,0.24023
6.928,0.24609
6.936,0.24023
6.944,0.26562
6.952,0.30078
6.96,0.31445
6.968,0.31055
6.976,0.35547
6.984,0.38086
6.992,0.39062
7,0.36523
7.008,0.33008
7.016,0.28516
7.024,0.30469
7.032,0.2793
7.04,0.23438
7.048,0.20117
7.056,0.17969
7.064,0.16602
7.072,0.16602
7.08,0.16016
7.088,0.16016
7.096,0.16016
7.104,0.16016
7.112,0.16016
7.12,0.16016
7.128,0.16602
7.136,0.18555
7.144,0.2793
7.152,0.41992
7.16,0.49414
7.168,0.5293
7.176,0.16602
7.184,0.044922
7.192,0.13477
7.2,0.16016
7.208,0.18945
7.216,0.20117
7.224,0.20117
7.232,0.20117
7.24,0.20508
7.248,0.21094
7.256,0.22461
7.264,0.2207
7.272,0.23047
7.28,0.23047
7.288,0.24609
7.296,0.25
7.304,0.25586
7.312,0.25586
7.32,0.26562
7.328,0.26953
7.336,0.27539
7.344,0.2793
7.352,0.28516
7.36,0.29102
7.368,0.2793
7.376,0.29102
7.384,0.27539
7.392,0.25977
7.4,0.24609
7.408,0.22461
7.416,0.20117
7.424,0.17969
7.432,0.16602
7.44,0.16602
7.448,0.17578
7.456,0.18555
7.464,0.19531
7.472,0.21094
7.48,0.21484
7.488,0.2207
7.496,0.2207
7.504,0.22461
7.512,0.22461
7.52,0.23047
7.528,0.23047
7.536,0.23047
7.544,0.22461
7.552,0.22461
7.56,0.22461
7.568,0.23047
7.576,0.23047
7.584,0.23047
7.592,0.23047
7.6,0.25
7.608,0.29102
7.616,0.30078
7.624,0.31055
7.632,0.34961
7.64,0.38086
7.648,0.36523
7.656,0.3457
7.664,0.30469
7.672,0.27539
7.68,0.29102
7.688,0.26562
7.696,0.21484
7.704,0.17969
7.712,0.16016
7.72,0.16016
7.728,0.16016
7.736,0.15625
7.744,0.14453
7.752,0.14453
7.76,0.15039
7.768,0.15039
7.776,0.15039
7.784,0.16016
7.792,0.18555
7.8,0.29492
7.808,0.42578
7.816,0.50586
7.824,0.51562
7.832,0.099609
7.84,0.03125
7.848,0.13477
7.856,0.16016
7.864,0.17969
7.872,0.17969
7.88,0.18555
7.888,0.19531
7.896,0.19531
7.904,0.20508
7.912,0.20508
7.92,0.21484
7.928,0.21094
7.936,0.2207
7.944,0.22461
7.952,0.23047
7.96,0.23438
7.968,0.24609
7.976,0.25
7.984,0.25586
7.992,0.25586
8,0.26562
